"","personid","yob","sex","edu","childincomecompare","adultincome","y92_simscore","y04_letterflu","y04_catflu","y04_simscore","y04_digit","y04_imrecall","y11_remember","y11_solve","y11_letterflu","y11_catflu","y11_digit","y11_imrecall","y04_involvechar","y04_involveorgs","y04_volrarelythink","y04_volloss","y04_volselfimport","y04_involvehobby","y04_involveinstru10","y04_involveinstru35"
"185",900689,39,1,-2,3,64000,8,11,-2,8,7,4,2,2,12,-2,6,-2,1,1,-3,-3,-3,1,3,3
"186",900690,39,1,-2,4,33000,6,12,10,5,7,5,2,2,12,1,6,3,1,1,2,5,7,1,3,3
"190",900706,38,1,-2,3,37200,10,-2,-2,6,-2,-2,1,1,11,-2,-2,-2,1,1,7,1,1,1,3,3
"191",900710,39,1,-2,3,59500,10,9,22,7,12,10,2,1,11,19,6,7,1,1,5,4,4,1,2,2
"194",900720,39,1,3,4,135000,10,5,-2,8,9,6,2,1,10,-2,5,6,1,1,3,5,4,1,3,3
"195",900724,39,2,-2,3,50000,5,10,29,7,11,7,2,1,10,22,11,7,1,1,3,6,6,1,3,3
"197",900727,39,1,-2,3,134100,6,18,30,7,7,9,2,1,18,24,10,8,2,1,7,1,2,4,3,3
"199",900731,39,1,3,3,62500,11,-3,17,10,10,7,1,1,17,22,10,5,2,1,7,5,6,2,3,3
"201",900740,39,1,3,3,108000,8,12,26,7,8,7,1,3,12,29,6,8,1,1,2,4,4,1,1,1
"202",900741,39,2,-2,3,0,6,-2,-2,5,-2,-2,1,1,-30,-30,-30,-30,1,1,4,4,4,2,3,3
"203",900743,39,2,-2,3,0,5,9,16,2,6,4,2,3,11,13,4,4,-3,-3,-3,-3,-3,-3,-3,-3
"205",900751,38,2,-2,3,40500,5,9,-2,4,4,7,2,1,12,-2,4,7,1,3,3,3,3,3,3,3
"206",900753,39,1,-2,3,1e+05,5,-3,15,4,4,4,1,1,6,14,0,5,1,1,1,3,5,1,3,3
"209",900762,39,2,-2,3,3210,11,11,-2,7,12,10,1,1,15,-2,8,7,1,1,7,1,1,1,1,1
"210",900764,39,2,-2,3,600,6,9,25,5,9,4,1,1,12,29,10,4,1,1,3,3,3,1,3,3
"220",900800,39,1,1,3,105000,8,15,-2,6,11,8,2,3,-4,-2,3,2,5,1,7,2,1,1,3,3
"221",900801,38,1,-2,3,64300,11,15,20,8,8,5,1,1,18,15,8,6,4,1,3,6,7,1,1,3
"222",900804,39,1,4,2,89000,11,-2,-2,-4,-2,-2,1,1,14,-2,-2,-2,1,4,3,6,2,1,3,2
"224",900808,39,2,-2,3,79000,7,13,-2,2,8,7,1,1,11,-2,6,4,2,1,7,2,2,3,3,3
"225",900809,39,2,-2,3,47100,8,11,21,7,0,6,2,1,10,19,6,5,1,1,2,5,4,2,-3,-3
"226",900812,39,2,-2,3,45000,5,5,-2,7,10,7,1,1,5,-2,6,5,1,1,1,7,7,1,3,3
"228",900814,39,2,-2,3,24610,10,-2,-2,7,-2,-2,1,1,12,-2,-2,-2,1,1,4,4,4,1,1,1
"229",900828,39,1,3,3,108000,9,9,13,7,8,5,1,1,9,28,4,5,1,2,5,7,7,1,3,3
"230",900829,38,1,-2,3,70200,10,13,15,4,6,6,1,2,9,20,6,9,1,1,2,6,6,1,3,3
"232",900832,40,1,4,4,117000,10,9,16,8,8,6,2,1,6,10,5,5,-3,-3,4,4,4,-3,3,3
"233",900833,39,2,-2,3,68000,3,-2,-2,3,-2,-2,1,2,10,-2,-2,-2,1,1,3,5,5,4,3,3
"236",900842,39,2,-2,3,130000,10,12,-2,6,8,7,1,2,12,-2,4,6,1,1,5,5,5,1,2,2
"237",900843,39,2,3,3,3e+05,13,17,22,10,12,8,1,1,13,18,6,7,1,1,7,1,2,1,3,3
"238",900846,39,2,-2,3,24000,6,-2,-2,4,-2,-2,2,2,9,-2,-2,-2,2,2,4,4,4,3,3,3
"240",900848,39,2,-2,3,63000,10,5,19,7,10,9,1,1,11,19,7,6,3,1,6,2,4,1,3,3
"242",900851,39,1,-2,3,45000,12,12,23,5,11,4,1,1,14,18,9,5,1,1,4,-3,-3,1,3,3
"243",900853,39,2,-2,3,70000,5,10,23,9,11,5,1,1,6,20,7,7,1,1,2,2,4,2,2,3
"245",900859,39,2,-2,3,113000,8,-4,-2,7,10,8,1,1,13,-2,9,6,1,1,1,7,7,1,3,3
"248",900867,38,1,-2,-3,35200,8,14,-2,7,4,5,2,1,10,-2,6,4,1,1,4,5,4,1,1,1
"250",900873,39,2,-2,3,152000,7,-2,-2,6,-2,-2,1,1,10,-2,-2,-2,3,2,6,4,4,1,3,3
"251",900877,37,1,-2,3,96300,6,14,-2,7,7,6,1,1,7,-2,8,6,1,1,3,5,4,1,3,3
"254",900885,39,1,-2,3,3e+05,13,-3,-3,4,-3,-3,1,1,-3,-3,6,5,1,1,1,7,7,1,3,3
"255",900888,39,1,4,4,125500,6,13,-4,9,11,8,2,1,12,24,11,7,1,1,4,6,6,1,3,3
"258",900898,39,1,2,4,70370,8,18,16,10,12,9,1,1,13,16,9,6,3,1,6,4,5,2,1,1
"259",900901,38,2,-2,3,28800,7,12,32,8,4,6,1,1,9,24,5,5,1,1,1,4,2,1,3,3
"261",900915,38,1,-2,4,59000,6,-4,-2,6,4,4,1,1,-3,-2,6,4,1,2,1,7,7,1,3,3
"262",900918,39,2,-2,3,48000,9,7,18,6,7,7,1,1,8,18,6,5,4,1,5,3,4,4,3,3
"263",900919,39,2,-2,3,45000,10,11,31,7,10,8,1,2,16,20,8,6,2,4,5,5,5,1,3,3
"264",900920,39,1,2,3,79400,10,14,-2,10,5,6,1,1,16,-2,5,6,1,1,6,7,6,1,2,1
"265",900921,37,2,2,3,1e+05,10,-2,-2,5,-2,-2,1,1,7,-2,-2,-2,2,5,4,4,5,3,3,3
"269",900933,40,1,-2,3,78000,10,-2,-2,7,-2,-2,1,1,10,-2,-2,-2,1,1,2,-3,-3,1,3,3
"271",900942,39,1,2,4,101000,5,12,21,10,7,6,1,1,8,17,8,5,2,1,2,7,7,1,3,3
"272",900943,39,1,4,2,22000,13,-2,-2,8,-2,-2,1,2,12,-2,-2,-2,2,1,5,3,3,1,1,1
"273",900946,39,1,-2,3,0,9,-4,-4,4,4,3,1,1,8,22,8,2,1,1,1,7,7,1,3,3
"274",900948,40,2,-2,3,105000,6,10,14,3,11,7,1,1,9,12,8,6,2,4,-3,-3,-3,1,2,2
"277",900956,38,1,-2,3,35000,7,-2,-2,-4,-2,-2,2,3,10,-2,-2,-2,1,1,1,7,7,2,3,3
"279",900966,40,2,-2,3,35000,8,12,31,5,6,7,1,1,-30,-30,-30,-30,1,1,2,7,7,1,3,3
"280",900969,39,2,1,3,159000,7,13,-2,8,6,7,1,1,-4,-2,4,4,3,1,7,7,7,3,2,1
